TID GID GT TTy ReqT TAr TT Res
1	 0	 4	 Q	 0	 0	 1	 S	
2	 0	 4	 P	 0	 0	 3	 A	
3	 2	 1	 C	 2	 2	 1	 B	
4	 0	 4	 C	 0	 3	 1	 A	
5	 2	 1	 D	 2	 3	 1	 S	
6	 3	 3	 A	 3	 3	 2	 B	
7	 4	 1	 C	 4	 4	 1	 A	
8	 0	 4	 D	 0	 4	 1	 S	
9	 4	 1	 D	 4	 5	 1	 S	
10	 3	 3	 C	 3	 5	 1	 B	
11	 5	 1	 C	 5	 5	 1	 A	
12	 3	 3	 D	 3	 6	 1	 S	
13	 6	 1	 C	 6	 6	 1	 B	
14	 5	 1	 D	 5	 6	 2	 S	
15	 7	 1	 C	 7	 7	 1	 B	
16	 1	 2	 P	 1	 1	 8	 A	
17	 8	 1	 C	 8	 8	 1	 B	
18	 6	 1	 D	 6	 7	 2	 S	
19	 1	 2	 C	 1	 9	 1	 A	
20	 7	 1	 D	 7	 8	 2	 S	
21	 8	 1	 D	 8	 9	 2	 S	
22	 9	 3	 A	 9	 9	 2	 B	
23	 1	 2	 D	 1	 10	 2	 S	
24	 9	 3	 C	 9	 11	 1	 B	
25	 10	 2	 P	 10	 10	 3	 A	
26	 9	 3	 D	 9	 12	 1	 S	
27	 10	 2	 C	 10	 13	 1	 A	
28	 11	 3	 A	 11	 11	 3	 B	
29	 10	 2	 D	 10	 14	 1	 S	
30	 13	 1	 C	 13	 13	 2	 A	
31	 11	 3	 C	 11	 14	 1	 B	
32	 13	 1	 D	 13	 15	 1	 S	
33	 11	 3	 D	 11	 15	 2	 S	
34	 14	 3	 A	 14	 14	 3	 B	
35	 12	 2	 P	 12	 12	 6	 A	
36	 16	 1	 C	 16	 16	 2	 B	
37	 14	 3	 C	 14	 17	 2	 A	
38	 16	 1	 D	 16	 18	 1	 S	
39	 12	 2	 C	 12	 18	 1	 B	
40	 14	 3	 D	 14	 19	 1	 S	
41	 15	 3	 A	 15	 15	 6	 B	
42	 12	 2	 D	 12	 19	 2	 S	
43	 17	 2	 P	 17	 17	 5	 A	
44	 20	 1	 C	 20	 20	 2	 B	
45	 15	 3	 C	 15	 21	 2	 A	
46	 20	 1	 D	 20	 22	 1	 S	
47	 17	 2	 C	 17	 22	 1	 B	
48	 22	 1	 C	 22	 22	 2	 A	
49	 15	 3	 D	 15	 23	 1	 S	
50	 24	 1	 C	 24	 24	 1	 B	
51	 17	 2	 D	 17	 23	 2	 S	
52	 22	 1	 D	 22	 24	 2	 S	
53	 18	 2	 P	 18	 18	 9	 A	
54	 25	 3	 A	 25	 25	 2	 B	
55	 24	 1	 D	 24	 25	 2	 S	
56	 26	 1	 C	 26	 26	 2	 A	
57	 18	 2	 C	 18	 27	 1	 B	
