TID GID GT TTy ReqT TAr TT Res
1	 0	 4	 Q	 0	 0	 1	 S	 prioritize: 1	 
2	 0	 4	 P	 0	 0	 3	 A	 prioritize:1	 
3	 2	 1	 C	 2	 2	 1	 B	 prioritize:0	
4	 0	 4	 C	 0	 3	 1	 A	 prioritize:1	
5	 2	 1	 D	 2	 3	 1	 S	 prioritize:0	 
6	 0	 4	 D	 0	 4	 1	 S	 prioritize:1	 
7	 3	 3	 A	 3	 3	 2	 B	 prioritize:0	
8	 4	 1	 C	 4	 4	 2	 B	 prioritize:0	
9	 1	 2	 P	 1	 1	 6	 A	 prioritize:0	 
10	 5	 1	 C	 5	 5	 2	 B	 prioritize:0	
11	 4	 1	 D	 4	 6	 1	 S	 prioritize:0	 
12	 3	 3	 C	 3	 5	 3	 A	 prioritize:0	
13	 6	 1	 C	 6	 6	 2	 B	 prioritize:0	
14	 5	 1	 D	 5	 7	 1	 S	 prioritize:0	 
15	 1	 2	 C	 1	 7	 2	 A	 prioritize:0	
16	 7	 1	 C	 7	 7	 2	 B	 prioritize:0	
17	 3	 3	 D	 3	 8	 1	 S	 prioritize:0	 
18	 8	 1	 C	 8	 8	 2	 A	 prioritize:0	
19	 6	 1	 D	 6	 8	 2	 S	 prioritize:0	 
20	 9	 3	 A	 9	 9	 2	 B	 prioritize:0	
21	 1	 2	 D	 1	 9	 2	 S	 prioritize:0	 
22	 9	 3	 C	 9	 11	 1	 B	 prioritize:0	
23	 7	 1	 D	 7	 9	 3	 S	 prioritize:0	 
24	 10	 2	 P	 10	 10	 3	 A	 prioritize:0	 
25	 8	 1	 D	 8	 10	 3	 S	 prioritize:0	 
26	 10	 2	 C	 10	 13	 1	 A	 prioritize:0	
27	 11	 3	 A	 11	 11	 3	 B	 prioritize:0	
28	 9	 3	 D	 9	 12	 2	 S	 prioritize:0	 
29	 13	 1	 C	 13	 13	 2	 A	 prioritize:0	
30	 11	 3	 C	 11	 14	 1	 B	 prioritize:0	
31	 10	 2	 D	 10	 14	 1	 S	 prioritize:0	 
32	 13	 1	 D	 13	 15	 1	 S	 prioritize:0	 
33	 14	 3	 A	 14	 14	 3	 B	 prioritize:0	
34	 11	 3	 D	 11	 15	 2	 S	 prioritize:0	 
35	 12	 2	 P	 12	 12	 6	 A	 prioritize:0	 
36	 16	 1	 C	 16	 16	 2	 B	 prioritize:0	
37	 14	 3	 C	 14	 17	 2	 A	 prioritize:0	
38	 16	 1	 D	 16	 18	 1	 S	 prioritize:0	 
39	 12	 2	 C	 12	 18	 1	 B	 prioritize:0	
40	 14	 3	 D	 14	 19	 1	 S	 prioritize:0	 
41	 15	 3	 A	 15	 15	 6	 B	 prioritize:0	
42	 12	 2	 D	 12	 19	 2	 S	 prioritize:0	 
43	 17	 2	 P	 17	 17	 5	 A	 prioritize:0	 
44	 20	 1	 C	 20	 20	 2	 B	 prioritize:0	
45	 15	 3	 C	 15	 21	 2	 A	 prioritize:0	
46	 17	 2	 C	 17	 22	 1	 B	 prioritize:0	
47	 20	 1	 D	 20	 22	 1	 S	 prioritize:0	 
48	 22	 1	 C	 22	 22	 2	 A	 prioritize:0	
49	 15	 3	 D	 15	 23	 1	 S	 prioritize:0	 
50	 24	 1	 C	 24	 24	 1	 B	 prioritize:0	
51	 17	 2	 D	 17	 23	 2	 S	 prioritize:0	 
52	 22	 1	 D	 22	 24	 2	 S	 prioritize:0	 
53	 18	 2	 P	 18	 18	 9	 A	 prioritize:0	 
54	 25	 3	 A	 25	 25	 2	 B	 prioritize:0	
55	 24	 1	 D	 24	 25	 2	 S	 prioritize:0	 
56	 26	 1	 C	 26	 26	 2	 A	 prioritize:0	
57	 18	 2	 C	 18	 27	 1	 B	 prioritize:0	
58	 26	 1	 D	 26	 28	 1	 S	 prioritize:0	 
59	 25	 3	 C	 25	 27	 2	 A	 prioritize:0	
60	 27	 1	 C	 27	 27	 2	 B	 prioritize:0	
61	 18	 2	 D	 18	 28	 2	 S	 prioritize:0	 
62	 29	 3	 A	 29	 29	 2	 B	 prioritize:0	
63	 25	 3	 D	 25	 29	 2	 S	 prioritize:0	 
64	 19	 2	 P	 19	 19	 13	 A	 prioritize:0	 
65	 30	 1	 C	 30	 30	 2	 B	 prioritize:1	
66	 27	 1	 D	 27	 29	 3	 S	 prioritize:0	 
67	 29	 3	 C	 29	 31	 2	 A	 prioritize:0	
68	 31	 1	 C	 31	 31	 2	 B	 prioritize:0	
69	 30	 1	 D	 30	 32	 1	 S	 prioritize:1	 
70	 19	 2	 C	 19	 32	 2	 A	 prioritize:0	
71	 33	 1	 C	 33	 33	 1	 B	 prioritize:0	
72	 29	 3	 D	 29	 33	 1	 S	 prioritize:0	 
73	 31	 1	 D	 31	 33	 2	 S	 prioritize:0	 
74	 32	 3	 A	 32	 32	 4	 B	 prioritize:0	
75	 19	 2	 D	 19	 34	 2	 S	 prioritize:0	 
76	 21	 2	 P	 21	 21	 16	 A	 prioritize:0	 
77	 36	 1	 C	 36	 36	 1	 B	 prioritize:0	
78	 33	 1	 D	 33	 34	 3	 S	 prioritize:0	 
79	 32	 3	 C	 32	 36	 2	 A	 prioritize:0	
80	 21	 2	 C	 21	 37	 1	 B	 prioritize:0	
81	 36	 1	 D	 36	 37	 1	 S	 prioritize:0	 
82	 37	 1	 C	 37	 37	 2	 A	 prioritize:0	
83	 32	 3	 D	 32	 38	 1	 S	 prioritize:0	 
84	 39	 1	 C	 39	 39	 1	 A	 prioritize:0	
85	 35	 3	 A	 35	 35	 5	 B	 prioritize:0	
86	 21	 2	 D	 21	 38	 2	 S	 prioritize:0	 
87	 35	 3	 C	 35	 40	 1	 B	 prioritize:0	
88	 37	 1	 D	 37	 39	 2	 S	 prioritize:0	 
89	 41	 1	 C	 41	 41	 1	 B	 prioritize:0	
90	 39	 1	 D	 39	 40	 2	 S	 prioritize:0	 
91	 23	 2	 P	 23	 23	 20	 A	 prioritize:0	 
92	 42	 1	 C	 42	 42	 1	 B	 prioritize:0	
93	 35	 3	 D	 35	 41	 2	 S	 prioritize:0	 
94	 23	 2	 C	 23	 43	 1	 A	 prioritize:0	
95	 41	 1	 D	 41	 42	 2	 S	 prioritize:0	 
96	 38	 3	 A	 38	 38	 7	 B	 prioritize:0	
97	 42	 1	 D	 42	 43	 2	 S	 prioritize:0	 
98	 44	 1	 C	 44	 44	 2	 B	 prioritize:0	
99	 23	 2	 D	 23	 44	 2	 S	 prioritize:0	 
100	 28	 4	 P	 28	 28	 19	 A	 prioritize:0	 
101	 45	 1	 C	 45	 45	 2	 B	 prioritize:0	
102	 44	 1	 D	 44	 46	 1	 S	 prioritize:0	 
103	 38	 3	 C	 38	 45	 3	 A	 prioritize:0	
104	 47	 1	 C	 47	 47	 1	 B	 prioritize:0	
105	 45	 1	 D	 45	 47	 1	 S	 prioritize:0	 
106	 38	 3	 D	 38	 48	 1	 S	 prioritize:0	 
107	 48	 5	 A	 48	 48	 2	 B	 prioritize:0	
108	 47	 1	 D	 47	 48	 2	 S	 prioritize:0	 
109	 34	 2	 P	 34	 34	 17	 A	 prioritize:0	 
110	 50	 1	 C	 50	 50	 1	 B	 prioritize:0	
111	 28	 4	 Q	 28	 28	 23	 S	 prioritize: 0	 
112	 34	 2	 C	 34	 51	 1	 A	 prioritize:0	
113	 28	 4	 C	 28	 51	 1	 B	 prioritize:0	
114	 50	 1	 D	 50	 51	 1	 S	 prioritize:0	 
115	 52	 1	 C	 52	 52	 1	 B	 prioritize:0	
116	 34	 2	 D	 34	 52	 1	 S	 prioritize:0	 
117	 53	 1	 C	 53	 53	 1	 B	 prioritize:0	
118	 28	 4	 D	 28	 52	 2	 S	 prioritize:0	 
119	 40	 2	 P	 40	 40	 15	 A	 prioritize:0	 
120	 52	 1	 D	 52	 53	 2	 S	 prioritize:0	 
121	 40	 2	 C	 40	 55	 1	 A	 prioritize:0	
122	 55	 1	 C	 55	 55	 1	 B	 prioritize:0	
123	 53	 1	 D	 53	 54	 2	 S	 prioritize:0	 
124	 40	 2	 D	 40	 56	 1	 S	 prioritize:0	 
125	 55	 1	 D	 55	 56	 2	 S	 prioritize:0	 
126	 43	 2	 P	 43	 43	 16	 A	 prioritize:0	 
127	 57	 3	 A	 57	 57	 2	 B	 prioritize:0	
128	 48	 5	 Q	 48	 48	 11	 S	 prioritize: 0	 
129	 43	 2	 C	 43	 59	 1	 A	 prioritize:0	
130	 57	 3	 C	 57	 59	 1	 B	 prioritize:0	
131	 58	 5	 Q	 58	 58	 2	 S	 prioritize: 0	 
132	 59	 1	 C	 59	 59	 2	 A	 prioritize:0	
133	 48	 5	 C	 48	 59	 2	 B	 prioritize:0	
134	 43	 2	 D	 43	 60	 1	 S	 prioritize:0	 
135	 57	 3	 D	 57	 60	 2	 S	 prioritize:0	 
136	 58	 5	 A	 58	 58	 5	 B	 prioritize:0	
137	 59	 1	 D	 59	 61	 2	 S	 prioritize:0	 
138	 60	 2	 P	 60	 60	 4	 A	 prioritize:1	 
139	 62	 1	 C	 62	 62	 2	 B	 prioritize:0	
140	 48	 5	 D	 48	 61	 3	 S	 prioritize:0	 
141	 60	 2	 C	 60	 64	 1	 A	 prioritize:1	
142	 58	 5	 C	 58	 63	 2	 B	 prioritize:0	
143	 62	 1	 D	 62	 64	 1	 S	 prioritize:0	 
144	 63	 1	 C	 63	 63	 3	 A	 prioritize:0	
145	 64	 1	 C	 64	 64	 2	 B	 prioritize:0	
146	 60	 2	 D	 60	 65	 1	 S	 prioritize:1	 
147	 58	 5	 D	 58	 65	 2	 S	 prioritize:0	 
148	 61	 5	 A	 61	 61	 7	 B	 prioritize:0	
149	 63	 1	 D	 63	 66	 2	 S	 prioritize:0	 
150	 46	 2	 P	 46	 46	 23	 A	 prioritize:0	 
151	 67	 1	 C	 67	 67	 2	 B	 prioritize:0	
152	 64	 1	 D	 64	 66	 3	 S	 prioritize:0	 
153	 68	 1	 C	 68	 68	 2	 A	 prioritize:0	
154	 46	 2	 C	 46	 69	 1	 B	 prioritize:0	
155	 67	 1	 D	 67	 69	 1	 S	 prioritize:0	 
156	 61	 5	 Q	 61	 61	 10	 S	 prioritize: 0	 
157	 65	 3	 A	 65	 65	 7	 B	 prioritize:0	
158	 68	 1	 D	 68	 70	 2	 S	 prioritize:0	 
159	 49	 2	 P	 49	 49	 24	 A	 prioritize:0	 
160	 71	 1	 C	 71	 71	 2	 B	 prioritize:0	
161	 46	 2	 D	 46	 70	 3	 S	 prioritize:0	 
162	 61	 5	 C	 61	 71	 3	 A	 prioritize:0	
163	 72	 1	 C	 72	 72	 2	 B	 prioritize:0	
164	 71	 1	 D	 71	 73	 1	 S	 prioritize:0	 
165	 65	 3	 C	 65	 72	 3	 A	 prioritize:0	
166	 49	 2	 C	 49	 73	 2	 B	 prioritize:0	
167	 61	 5	 D	 61	 74	 1	 S	 prioritize:0	 
168	 66	 4	 Q	 66	 66	 10	 S	 prioritize: 0	 
169	 73	 3	 A	 73	 73	 4	 B	 prioritize:0	
170	 72	 1	 D	 72	 74	 3	 S	 prioritize:0	 
171	 51	 2	 P	 51	 51	 27	 A	 prioritize:0	 
172	 76	 1	 C	 76	 76	 2	 B	 prioritize:0	
173	 65	 3	 D	 65	 75	 3	 S	 prioritize:0	 
174	 77	 1	 C	 77	 77	 2	 A	 prioritize:0	
175	 73	 3	 C	 73	 77	 2	 B	 prioritize:0	
176	 49	 2	 D	 49	 75	 4	 S	 prioritize:0	 
177	 51	 2	 C	 51	 78	 2	 A	 prioritize:0	
178	 76	 1	 D	 76	 78	 2	 S	 prioritize:0	 
179	 75	 5	 A	 75	 75	 6	 B	 prioritize:0	
180	 77	 1	 D	 77	 79	 2	 S	 prioritize:0	 
181	 80	 1	 C	 80	 80	 2	 B	 prioritize:0	
182	 70	 4	 Q	 70	 70	 12	 S	 prioritize: 0	 
183	 54	 2	 P	 54	 54	 29	 A	 prioritize:0	 
184	 82	 1	 C	 82	 82	 1	 B	 prioritize:0	
185	 73	 3	 D	 73	 79	 4	 S	 prioritize:0	 
186	 54	 2	 C	 54	 83	 1	 A	 prioritize:0	
187	 83	 1	 C	 83	 83	 1	 B	 prioritize:0	
188	 51	 2	 D	 51	 80	 4	 S	 prioritize:0	 
189	 84	 1	 C	 84	 84	 1	 B	 prioritize:0	
190	 80	 1	 D	 80	 82	 3	 S	 prioritize:0	 
191	 82	 1	 D	 82	 83	 3	 S	 prioritize:0	 
192	 56	 2	 P	 56	 56	 31	 A	 prioritize:0	 
193	 79	 3	 A	 79	 79	 8	 B	 prioritize:0	
194	 54	 2	 D	 54	 84	 3	 S	 prioritize:0	 
195	 56	 2	 C	 56	 87	 1	 A	 prioritize:0	
196	 79	 3	 C	 79	 87	 1	 B	 prioritize:0	
197	 83	 1	 D	 83	 84	 4	 S	 prioritize:0	 
198	 88	 1	 C	 88	 88	 1	 B	 prioritize:0	
199	 84	 1	 D	 84	 85	 4	 S	 prioritize:0	 
200	 89	 1	 C	 89	 89	 1	 B	 prioritize:0	
201	 56	 2	 D	 56	 88	 2	 S	 prioritize:0	 
